bangla_speech ,banglish_speech ,chittagong_bangla_speech ,chittagong_banglish_speech ,region_name ,english_speech
যদি আমি জেনে গেছি শুনে আমার ক্ষতি করার চেষ্টা করে,jodi ami jene gechi shune amar khoti korar ceshta kore,যদি আই জানি গিয়ে ইন ফুনিলে আর ক্ষতি গরিবেল্লাই চেষ্টা গরিব,jodi ai jani giye in funile ar khoti goribellai cheshta gorib,Chittagong,If I know and try to harm me
ঐ লোক যদি আমার বোনের কোনো ক্ষতি করে,oi lok jodi amar boner kono khoti kore,বেডা ইবা যদি আর ভোইনর হনো হতি গরে,beda iba jodi ar voinor hono hoti gore,Chittagong,If that person harms my sister
কি করা উচিত এমন পরিস্থিতিতে,ki kora ucit emon poristhitite,কি গরন উচিত এইল্লে ফরিস্থিতিত,ki goron uchit eille foristhitit,Chittagong,What to do in such situations
আমার মনে হচ্ছে আমি জেনে গেছি শুনে ওরা আমাকে খুন করতেও দুইবার ভাববে না,amar mone hocche ami jene gechi shune ora amake khun korteo duibar vabbe na,আত্তুন মনত অরদে ইতারা জানি গেইলই আরে মারিফেলিবেল্লাই ইতারা দুইবার চিন্তা নো গরিবো,attun monot orde itara jani geili are marifelibellai itara duibar chinta no goribo,Chittagong,I feel like they won't think twice about killing me once they find out
এতো এতো সংসারের ঝামেলা দেখে পোস্ট করা,eto eto songsarer jhamela dekhe post kora,এতো এতো সংসারর ঝামেলা সাইয়েরে পোস্টান গরন,eto eto songsaror jhamela saiyere postan goron,Chittagong,Posting after seeing so many problems in the world
সন্ধ্যায় আমার মা এসে আমাকে অভিযোগ দিলো আমার বাবার সাথে ঝগড়া হয়েছে আবার,sondhay amar ma ese amake ovijog dilo amar babar sathe jhogra hoyeche abar,সন্ধ্যায় আয়ার মা আইয়েরে আরে অভিযোগ গরের আর বাফোর ফোওয়ারিত ঝগরা অইয়ে।,sondhay ayar ma aiyere are ovijog gorer ar bafor fowyarit jhogra oiye,Chittagong,In the evening my mother came and complained to me that I had a quarrel with my father again
আগে পরের হিসাব বাদ আজকে ঝগড়ার বিষয় আব্বু বিদেশে থাকে,age porer hisab bad ajke jhograr bishoy abbu bideshe thake,আগের হতা বাদ আজিয়া ঝগরার বিষয় আব্বু বিদেশত তাজে,ager hota bad ajiya jhograr bishoy abbu bideshot taje,Chittagong,"Today, except for the first and second accounts, the subject of the quarrel is Abbu, who lives abroad"
সে সারাদিন কত কষ্ট করে কাজ করে,se saradin koto koshto kore kaj kore,"সে গোডা দিন হত হস্ট গরের,",se goda din hoto hosto gorer,Chittagong,How hard he works all day
এক বেলা খাওয়ার সময় পায় এসব আম্মু কে বলছে,ek bela khaoyar somoy pay esob ammu ke bolche,এক বেলা হানাহাইবার সমত ফায় ইয়েন আম্মুরে হইয়ে,ek bela hanahaibar somot fay iyen ammure hoiye,Chittagong,He is saying these things to his mother when he has time to eat
আম্মু তখন উলটে বলছে আমি ও সারাদিন অনেক কাজ করি,ammu tokhon ulte bolche ami o saradin onek kaj kori,আম্মু তহন উল্ডা হইয়ে আইও গোডা দিন বহুত হাম গোরে,ammu tohon ulda hoiye aio goda din bohut ham gore,Chittagong,Mom says that I do a lot of work all day
গত কাল না খেয়ে রোজা ছিলাম,goto kal na kheye roja chilam,গত হালিয়া না হাইয়েরে রোজা আসিলাম,goto haliya na haiyere roja asilam,Chittagong,Yesterday I was fasting without eating
এটা শুনে আব্বু রেগে ফোন কেটে দিছে,eta shune abbu rege phone kete diche,আব্বু ইয়ান ফুনিয়েরে রাগি ফোন হাডি দিয়ি,abbu iyan funiyere ragi phone hadi diyi,Chittagong,"Hearing this, Abbu hung up the phone angrily"
আমি আম্মু কে বললাম আব্বু শুনতে চাইছে একটু সান্ত্বনা ,ami ammu ke bollam abbu shunte chaice ektu shantona,আই আম্মুরে হইলাম আব্বু সান্ত্বনা ফুনিবেল্লাই সাইয়ে,ai ammure hoilam abbu shantona funibellai saiye,Chittagong,I told my mother that my father wants to hear some consolation
আমিও বুঝি তুমি অনেক কষ্ট করো,amio bujhi tumi onek koshto koro,আইও বুঝি তুই বহুত হস্ট গর,aio bujhi tui bohut hosto gor,Chittagong,I also understand that you suffer a lot
আম্মুর কথা কয়দিন আগে আমি তাকে একটা কষ্টের কথা বলছি,ammur kotha koydin age ami take ekta koshter kotha bolchi,আম্মুর হতা হয়েকদিন আগোদি আই তারে এক্কান হস্টের হতা হইয়ি,ammur hota hoyekdin agodi ai tare ekkan hoster hota hoiyi,Chittagong,A few days ago I was telling her about a problem
সে আমার সাথে কি করলো আমাকে ও তাই করতে হবে,se amar sathe ki korlo amake o tai korte hobe,সে কি হাম গইজ্জে ইন আত্তুনও গরন ফরিবো,se ki ham goijje in attuno goron foribo,Chittagong,I have to do what he did to me
এমন মনোভাব নিয়ে সংসারে কখনো সুখ আসে না,emon monovab niye songsare kokhono sukh ase na,এইল্লে মনভাব লইয়েরে হনোদিন সুখ নো আইবো,eille monovab loiyere honodin sukh no aibo,Chittagong,Happiness never comes in the world with such an attitude
আমার মার কাছে আমার জামাই খুব ভাল,amar mar kache amar jamai khub valo,আর মার হাসে আর জামাই বেস গম,ar mar hase ar jamai bes gom,Chittagong,My son-in-law is very good to my mother
এক কথায় সোনার টুকরো স্বামী আমার,ek kothay sonar tukro sami amar,এক হতায় সোনার টুকরা জামাই আর,ek hotay sonar tukra jamai ar,Chittagong,"In a word, my husband is a piece of gold"
"আমাকে বোঝে, আমার সব কথা শোনে","amake bojhe, amar sob kotha shone",আরে বুঝে আর বেয়াগ হতা মানে,are bujhe ar beyag hota mane,Chittagong,"Understands me, listens to all my words"
আমার হয়ে প্রতিবাদ করে আরো কত গুন,amar hoye protibad kore aro koto gun,আর অইয়েরে ফ্রতিবাদ গরে আরো হত গুন,ar oiyere frotibad gore aro hoto gun,Chittagong,How many more times protested for me
আমি তাকে এইগুলো শিখাইছি,ami take eigulo shikhaichi,আই তারে ইন শিকাইয়ি,ai tare in shikaiyi,Chittagong,I am teaching him these
আমি রেগে থাকলেও সে বুঝতো না,ami rege thakleo se bujhto na,আই রাগি তাকিলেও সে নো বুজিতো,ai ragi takileo se no bujito,Chittagong,"Even if I was angry, he didn't understand"
আমি পাশে বসায়ে বলছি যে এই কাজের জন্য আমার খারাপ লাগছে,ami pashe bosaye bolchi je ei kajer jonno amar kharap lagche,আই পাশে বাসাত হইয়ি এই হামোরলাই আর হারাপ লার,ai pase basat hoiyi ei hamorlai ar harap lar,Chittagong,I'm just saying that I feel bad for this job
এখন তুমি আমার কাছে ক্ষমা চাও,ekhon tumi amar kache khoma chao,এহন তুই আর হাসে মাফ সদ্দে,ehon tui ar hase maf sodde,Chittagong,Now you apologize to me
আমি তাকে কখনো তার কোনো কাজ নিয়ে খোটা দেই নি,ami take kokhono tar kono kaj niye khota dei ni,আই তারে তার হামরলাই হডা নো দি!,ai tare tar hamorlai hoda no di,Chittagong,I never scolded him for any of his work
আমি একটা কষ্টের কথা বললে সে নিজের কষ্টের কথা বলছে,ami ekta koshter kotha bolle se nijer koshter kotha bolche,আই এক্কান হষ্টের হতা হইলে সেও নিজের হষ্টের হতা হর,ai ekkan hoshter hota hoile seo nijer hoshter hota hor,Chittagong,"When I talk about a problem, he talks about his own problem"
আমি আমার বিষয় সাইডে রেখে তাকে সান্ত্বনা দিছি,ami amar bishoy side e rekhe take shantona dichi,আই আর বিষয়কান সাইডে রাহিয়েরে তারে সান্তনা দোন ফোরের,ai ar bishoykan side e rahiyere tare santona don forer,Chittagong,I put my issue aside and consoled her
সে যেভাবে আমাকে আশা করছে আমি নিজেকে সেভাবে উপস্থাপন করছি,se jevabe amake asha korche ami nijeke sevabe uposthapon korchi,সে জেইল্লে আত্তুন আসা গরে এইল্লে আই নিজেরে রাহি,se jeille attun asa gore eille ai nijere rahi,Chittagong,I present myself as he expects me to be
আমার কখনো মনে হয় নি আমি কেন ছোট হবো,amar kokhono mone hoy ni ami ken choto hobo,আর হনো সমত মনত নো অয় আই ছোট অইয়ুম!,ar hono somot monot no oy ai choto oiyum,Chittagong,I never thought why I would be small
ও আমার সাথে এটা করছে আমিও ওর সাথে এটা করবো,o amar sathe eta korche amio or sathe eta korbo,ও আর ফোয়ারিত ইয়ান গইজ্জে এতাল্লাই আইও ইয়ান গইজ্জুম,o ar foyarit iyan goijje etallai aio iyan goijjum,Chittagong,He's doing it to me and I'm going to do it to him
ও বোঝে না আমার ঠেকা নাই বুঝানোর,o bojhe na amar theka nai bujhanor,ইতে নো বুজে আত্তুনও ঠেকা আসে না আইও বুজাইতাম,ite no buje attuno theka ase na aio bujaitam,Chittagong,"He doesn't understand, I can't stop him from explaining"
মানুষ যার যার নিজের মত,manush jar jar nijer moto,মানুষ যার যার নিজের ডইল্লে,manush jar jar nijer doille,Chittagong,People are different
আমি বিশ্বাস করি কাউকে যদি আমি নিজের মত চাই তাহলে নিজের মত বানিয়ে নিতে হবে,ami bisshas kori kauke jodi ami nijer moto chai tahole nijer moto baniye nite hobe,আই বিশ্বাস গরি হনইক্কে যদি আরে নিজের ডইল্লে চায় তাইলে বানাইত্তারিবো,ai bisshas gori honikke jodi are nijer doille chay taile banaittaribo,Chittagong,"I believe that if someone wants to be like me, I have to make them like me"
কাউকে নিজের মত বানানোর জন্য আগে আমাকে তার মত হতে হবে,kauke nijer moto bananor jonno age amake tar moto hote hobe,হনইক্কেরে নিজের ডইল্লে বানাইবের আগদ্দি আরে তার ডইল্লে অন ফরিব,honikkere nijer doille banaiber agoddi are tar doille on forib,Chittagong,"To make someone like me, I must first be like them"
এটা জরুরি না সব সময় সব কিছু অপর জন করবে,eta joruri na sob somoy sob kichu opor jon korbe,ইয়ান জরুরি নো সব সমত বেয়াক্ককিসু অরেকজন গরিবো,iyan joruri no sob somot beyakkisu orekjon goribo,Chittagong,It is not necessary to always do everything else
আপনি নিজে কিছু একটা করেন,apni nije kichu ekta koren,অনে নিজে কিছু এক্কা গরন,one nije kichu ekka goron,Chittagong,You do something yourself
আমার স্বামী পর পর ৩ বছর আমার জন্মদিন মনেও রাখে নি,amar sami por por 3 bochor amar jonmodin moneo rakhe ni, আই জামাই ফর ফর ৩ বছর আর জন্মদিন মনত নো রাহে,ai jamai for for ৩ bochor ar jonmodin monot no rahe,Chittagong,My husband didn't even remember my birthday for 3 years straight
আমি পর পর ৩ বছর তাকে সারপ্রাইজ দিয়েছি জন্মদিনে,ami por por 3 bochor take surprise diyechi jonmodine,আই ফর ফর ৩ বছর তারে সারপ্রাইজ দিয়ি জন্মদিন,ai for for ৩ bochor tare surprise diyi jonmodin,Chittagong,I gave him a surprise on his birthday for 3 consecutive years
আমি কিন্তু এটা ভাবি নি যে ও মনে রাখে না আমি কেন করতে যাবো,ami kintu eta vabi ni je o mone rakhe na ami ken korte jabo,আই কিন্তু ইয়ান চিন্তা নো গরি যে ও মনত নো রাহে আই কিল্লাই মনত রাহিতাম,ai kintu iyan chinta no gori je o monot no rahe ai killai monot rahitam,Chittagong,But I didn't think that he didn't remember why I was going to do it
আর এবছর সে বিশাল করে সারপ্রাইজ দিয়েছে আমাকে,ar ebochor se bishal kore surprise diyeche amake,আর এই বছরত যেই বিশাল গরিয়েরে সারপ্রাইজ দিয়ে আরে,ar ei bochorot jei bishal goriyere surprise diye are,Chittagong,And this year he gave me a big surprise
কেক এর উপর লেখা ছিল শুভ জন্মদিন আমার বউ,cake er upor lekha chilo shuvo jonmodin amar bou,কেকের উদ্দি লেখা আসিল দে শুভ জন্মদিন আর বউ,cake uddi lekha asilo de shuvo jonmodin ar bou,Chittagong,Happy birthday my wife was written on the cake
সময় লেগেছে কিন্তু আমি যা তার থেকে চাই সেটা কিন্তু ঠিক বের করে এনেছি,somoy legeche kintu ami ja tar theke chai seta kintu thik ber kore enechi,সময় লাইজ্ঞে যিন আই তাত্তুন সাইয়ি ঠিক বাইর গরি ফেইল্লি,somoy laigge jin ai tattun saiyi thik bair gori feilli,Chittagong,It took time but I got exactly what I wanted out of him
কাউকে তোমার কথা শুনাতে হতে আগে তুমি তার কথা শোনো,kauke tomar kotha shunate hote age tumi tar kotha shono,হনিক্কের হতা ফুনার আগদ্দি ইতার হতা ফুনো!,honikker hota funar agoddi itar hota funo,Chittagong,Listen to someone before you have to listen to them
আমরা তিন ভাই বোন আমি সবার বড়,amra tin vai bon ami sobar boro,আরা ৩ ভাই ভোইন আই বেয়াক্কুনের ডোর,ara ৩ vai voin ai beyakkuner dor,Chittagong,"We are three brothers and sisters, I am the eldest"
"আমার মা ,ভাই, বোন বরিশালে থাকে","amar ma ,vai, bon barishale thake",আর মা ভাই ভোইন বরিশাল তাহে,ar ma vai voin barishal tahe,Chittagong,"My mother, brother, sister live in Barisal"
আমি সিলেট থাকি,ami sylhet thaki,আই সিলেট তাহি,ai sylhet tahi,Chittagong,I live in Sylhet
ঢাকায় এসেছি এসএসসি পরীক্ষা দিয়ে,dhakay esechi SSC porikkha diye,ঢাহাত আইয়েরে এসএসসি ফরিক্ষা দিয়ি,dhahat aiyere ssc forikkha diyi,Chittagong,I came to Dhaka with SSC exam
"ছোট খালার বাসায়,তার বাসায় থেকেই পড়ালেখা করে এইচএসসি পরীক্ষা দিয়েছি","choto khalar basay,tar basay thekei poralekha kore HSC porikkha diyechi",ছোড হালার বাসাত তাকিয়েরে ফন্না ফরিয়েরে এইচএসসি ফরিক্ষা দিয়ি,chodo halar basat takiyere fonna foriyere hsc forikkha diyi,Chittagong,"I studied at my aunt's house, and passed the HSC exam from her house"
আমার খালার বাসাতে ফেরা কি ঠিক হবে,amar khalar basate fera ki thik hobe,আর হালার বাসাত যন কি ঠিক অইবনা,ar halar basat jon ki thik oibona,Chittagong,Will it be okay to go back to my aunt's house?
আম্মু খালা লেখাপড়ার জন্য ঢাকায় ফিরতে বলবে আমি যেতে পারবো না,ammu khala lekhaporar jonno dhakay firte bolbe ami jete parbo na,আম্মু হালা লেহাফড়ার লাই ঢাহাত যাইতে হইলে আই যাইন্ন ফাইজ্জুম,ammu hala lehafrar lai dhahat jaite hoile ai jainno faijjum,Chittagong,"My aunt will tell me to return to Dhaka for education, I can't go"
ঐ লোকের সামনে আমি দাঁড়াতে পারবোনা,oi loker samne ami darate parbona, ঐ লোকর সামনোদি আই দারাইন্নো ফাইজ্জুম,oi lokor samnodi ai darainno faijjum,Chittagong,I can't stand in front of that man
আমার মতো এতো ভুল মনে হয় কেউ করে না,amar moto eto vul mone hoy keu kore na,আর ডইল্লে এইল্লে ভুল হনিক্কে নো গরে,ar doille eille vul honikke no gore,Chittagong,No one makes as many mistakes as I do
আমি তো সত্যি ভেবেই ভুলে জড়ায় পরতাম,ami to sotti vebei vule joray portam,আইতো আসলেই ভুল ফোতে জরাই যাইতেম,aito asholei vul fote jorai jaitem,Chittagong,I really forgot to wear it
আমি কিভাবে বুঝতাম যে মানুষগুলো সঠিক না,ami kivabe bujhtam je manushgulo sothik na,আই কেনে বুজিত্তাইত্তাম মানুষ তারা সঠিক নো,ai kene bujittaittam manush tara sothik no,Chittagong,How do I know that people are not right?
আমার প্রথম ভালোবাসার মানুষটা ছিলো ভুল,amar prothom valobasar manushta chilo vul,আর প্রথম ভালোবাসা আসিল ভুল,ar prothob valobasha asilo vul,Chittagong,My first love was wrong
সে পুরো ৬ বছর আমাকে ঠকাইছে,se puro 6 bochor amake thokaiche,সে গোডা ৬ কান বছর আরে ঠকাইয়ে,se goda ৬ kan bochor are thokaiye,Chittagong,He cheated me for 6 whole years
প্রতিবারই আশা করতাম যে ভালো হয়ে গেছে,protibari asha kortam je valo hoye geche,ফ্রতিবারই আসা গইত্তেম ভালা অই গিয়ই,frotibari asa gittem vala oi giyi,Chittagong,Each time I hoped that it would get better
শেষ বার যে মেয়ের জন্য আমায় ছেড়ে গেছিলো শুনছি সে নাকি অনেক সুন্দর,shesh bar je meyer jonno amay chere gechilo shunchi se naki onek sundor,শেষ বার যেই মায়া ফোয়ার লাই আরে ছাড়ি দিয়ি ফুইন্নিদে মাইয়াফোয়া ইবা নাকি বহুত সুন্দর,shesh bar jei maya foyar lai are chari diyi fuinnide maiyafoya iba naki bohut sundor,Chittagong,I hear the girl who left me for the last time is very beautiful
দুনিয়া তে আসলে চেহারার সুন্দরই সব,duniya te asole ceharar shundori shob,দুনিয়াত আসসলে চেহারার সুন্দর এই বেয়াক্কিসু,duniyat asosle ceharar sundor ei beyakkisu,Chittagong,Everything in the world is beautiful in appearance
আমার মনটা কেউ বুঝে নাহ,amar monta keu bujhe nah,আর মন নো বুঝে,ar mon no bujhe,Chittagong,No one understands my heart
তারপর আমি আবার ভুল করছিলাম,tarpor ami abar vul korchilam,তারফর আই আবার ভুল গরি বেলাইয়ি,tarofor ai abar vul gori belaiyi,Chittagong,Then I was wrong again
কোনো এক ভাবে আমাদের কথা শুরু হয়,kono ek vabe amader kotha shuru hoy,হোন এক ভাবে আরার হতা শুরু অয়,hon ek vabe arar hota shuru oy,Chittagong,Somehow we started talking
ধিরে ধিরে দুর্বল হয়ে পড়লাম তার প্রতি,dhire dhire durbol hoye porlam tar proti,ধিরে ধিরে আই দূরবল অই যাইলাম তার ফ্রতি,dhire dhire ai durobol oi jailam tar froti,Chittagong,Slowly I became weak towards him
সেও আমার প্রতি দুর্বল হয়ে গেছিলো,seo amar proti durbol hoye gechilo,সেও আর ফ্রতি দুরবল অই গিয়ি,seo ar froti durobol oi giyi,Chittagong,He also became weak towards me
একটা সময় পর বুঝলাম যে আমরা একে অপরকে চাই,ekta somoy por bujhlam je amra eke oporke chai,এক্কান সময় ফর বুঝিলাম যে আই একে অফরকে চাইর,ekkan somoy for bujhilam je ai eke oforke chair,Chittagong,After a while I realized that we want each other
প্রথম দিকে আমি খারাপ ব্যবহার করতাম,prothom dike ami kharap bebohar kortam,ফ্রথম আই হারাফ আসরন গইত্তেম,frothom ai haraf asoron goittem,Chittagong,At first I used to misbehave
প্রথমবার ঠকার পর একটা ভয় ঢুকে গেছিলো ভিতরে,prothombar thokar por ekta voy dhuke gechilo vitore,ফ্রথম বার থকিবার ফর ডোর আই গিয়ি আর ভিতরত,frothom bar thokibar for dor ai giyi ar vitorot,Chittagong,"After the first time, a fear entered inside"
তাকে আমি বলে নিছিলাম যে আমার তোমাকে বিশ্বাস করতে সময় লাগবে,take ami bole nichilam je amar tomake bisshsas korte somoy lagbe,তারে আই হইলাম যে আত্তুন তোওয়ারে বিশ্বাস গইত্তে সময় লাইবো,tare ai hoilam je attun tooyare bishbas gitte somoy laibo,Chittagong,I told him that I will take time to trust you
সে বলছিলো সমস্যা নাই,se bolchilo somossa nai,সে হইয়েদে সমইস্যা নাই,se hoiyede somissa nai,Chittagong,He said no problem
আমি তোমার পাশে আছি,ami tomar pashe achi,আই তোওয়ার ডাহদ্দি আসি,ai tooyar dahoddi asi,Chittagong,I'm on your side
তোমার সব কথা মেনে নিবো,tomar sob kotha mene nibo,তোওয়ার হতা মানি লইউম,tooyar hota mani lium,Chittagong,I will accept all your words
ঝে মাঝে ঝগড়া হতো কিন্তু সেইদিনই সব ঠিক হয়ে যাইতো,majhe majhe jhogra hoto kintu seidini sob thik hoye jaito,মাঝদ্দি ঝগড়া অইতো আবার সেই দিনত থিক অই যাইতো,majhoddi jhogra oito abar sei dinot thik oi jaito,Chittagong,Sometimes there would be quarrels but on that day everything would be fine
সে আমার ছোট ছোট পছন্দের জিনিসও খেয়াল রাখতো,se amar choto choto pochonder jinish o kheyal rakhto,সে ছোট্ট ছোট্ট পছন্দ হেয়াল রাখিতো,se chotto chotto pochondo heyal rakhito,Chittagong,He also took care of my small preferences
দ্বিতীয় জনকে পেয়ে নিজেকে খুব ভাগ্যবতী মনে হতো,ditio jonke peye nijeke khub vaggboti mone hoto,আরেকজন ফাইয়েরে নিজেরে বহুত ভাগ্যবতি মনত অইতো,arekojon faiyere nijere bohut vagjobti monot oito,Chittagong,I felt very lucky to have a second one
আমার সাথে বাজে ব্যবহার করতে থাকলো,amar sathe baje bebohar korte thaklo,আর ফোয়ারিত হারাফ ব্যবহার গইরতো,ar foyarit haraf bebohar goirto,Chittagong,He started misbehaving with me
ততোদিনে আমি তার প্রতি অনেকটাই দুর্বল হয়ে গেছি,totodine ami tar proti onektai durbol hoye gechi,ততোদিনত আই তার ফ্রতি দুরবল অই গিয়ি,totodinot ai tar froti durbol oi giyi,Chittagong,By then I had become very weak towards him
সে আমাকে ঝগড়া হলেই সব সময় অপমান করে,se amake jhogra holei sob somoy opoman kore,সে আর ফোয়ারিত ঝগড়া অইলেই আরে অফমান গরে,se ar foyarit jhogra oilei are ofoman gore,Chittagong,He always insults me when we quarrel
পরিবার তুলে গালি দেয়,poribar tule gali dey,ফরিবার তুলিয়েরে গাইল দে,foribar tuliyere gail de,Chittagong,The family scolds
আমি দ্বিতীয় বার ভালোবেসেও ঠকে গেছি,ami ditiyo bar valobeseo thoke gechi,আই আরো একবার ভালোবাসিয়েরে ঠকি গেইলাম,ai aro ekbar valobasiyere thoki geilam,Chittagong,I fell in love for the second time
তবে আমি তাকে এখনো ভালোবাসি,tobe ami take ekhono valobashi,তবে তারে আই এহনো ভালোবাসি,tobe tare ai ehono valobasi,Chittagong,But I still love him
তার দেয়া কথা গুলা মাঝে মাঝে মনে পড়লে অনেক হাসি আসে,tar deya kotha gula majhe majhe mone porle onek hashi ase,তার হতা বাত্রা মাঝদ্দি মনত ফরিলে বহুত আসি আইয়ে,tar hota batra majhoddi monot forile bohut asi aiye,Chittagong,"When I remember his words sometimes, I smile a lot"
তার কি একটুও মনে পড়ে না আগের দিনের কথা?,tar ki ektuo mone pore na ager diner kotha?,তার এক্কানো কি মনত নো ফরে আগের হতা?,tar ekkano ki monot no fore ager hota?,Chittagong,Does he not remember the previous day?
সে কিভাবে পারলো এতো স্বপ্ন দেখানোর পরে আমাকে ঠকাইতে?,se kivabe parlo eto sopno dekhanor pore amake thokaite?,সে কেনে ফাইল্ল এতো সপ্ন দেহাইয়েরে আরে ঠহাইতো?,se kene faillo eto sopno dehaiyere are thohaito?,Chittagong,How could he deceive me after showing so many dreams?
এখন নিজেকেই আর বিশ্বাস করতে পারি না,ekhon nijekei ar bisshas korte pari na,এহন আর নিজেরে বিশ্বাস গরিন্নো ফারি,ehon ar nijere bishsas gorinno fari,Chittagong,I can't believe myself anymore
কি ছিলাম আর কি হলাম,ki chilam ar ki holam,কি আসিলাম কি অই গিয়ি,ki asilam ki oi giyi,Chittagong,What I was and what I have become
আমার বিয়ের বয়স ২২ মাস,amar biyer boyos 22 mash,আর বিয়ার বয়স ২২ মাস,ar biyar boyos ২২ mas,Chittagong,My marriage is 22 months
আমার ৮ মাসের একটা ছেলে বাবু আছে,amar 8 maser ekta chele babu ache,আর ৮ মাসর এক্কান মরত ফোয়া আসে,ar ৮ masor ekkan morot foya ase,Chittagong,I have an 8 month old son
এই করোনায় অনার্স ফাইনাল ইয়ারে থাকাকালীন বিয়ে হয়ে যায় আমার,ei coronay honour's final year thakakalin biye hoye jay amar,এই হরনাত অনার্স ফাস ফাইনালত তাকিতেই বিয়া অইয়ে আর,ei hornat honour's fas finalot takitei biya oiye ar,Chittagong,I got married during my honors final year in Corona
আমি গনিতে অনার্স করতেছিলাম,ami gonite honour's kortechilam.,আই গনিতের উওরত অনার্স গরিত্তাসিলাম,ai goniter uttorot honour's gorittasilam,Chittagong,I was doing honors in Goni
এদিকে যার সাথে বিয়ে হয় সে অশিক্ষিত,edike jar sathe biye hoy se oshikkhito,এ সাইডদ্দি যার ফোয়ারিত বিয়া অইয়ে সে অসিক্ষিত,e saidoddi jar foyarit biya oiye se osikkhit,Chittagong,"On the other hand, the one who gets married is uneducated"
সে স্কুলেই যাইনি কখনো,se school e jaini kokhono,সে স্কুলত নো যায় হোন দিন,se schoolot no jay hon din,Chittagong,He never went to school
"বিয়ের সময় বলছিলো ছেলে শিক্ষিত,ঢাকায় চাকরি করে","biyer somoy bolchilo chele shikkhito,dhakay chakri kore",বিয়ার সমত অইলো আরারে ফোয়া শিক্ষিত ঢাহাত চরি গরে,biyar somot oilo arare foya shikkhito dhahat chori gore,Chittagong,"At the time of marriage, the son said that he was educated and working in Dhaka"
আমার বর ছোটবেলায় তার মা হারায়,amar bor chotobelay tar ma haray,আর বর ছোটহালত তার মা ইন্তেকাল অই যায়,ar boro chotohalot tar ma intekal oi jay,Chittagong,My husband lost his mother when he was young
বিয়ের সময় বলছিলো বরের বাড়ি আছে,biyer somoy bolchilo borer bari ache,বিয়ার হইলো বরর বাড়ি আসে,biyar hoilo boror bari ase,Chittagong,"At the time of marriage, it was said that the groom has a house"
এসব নিয়ে আমি সমস্যা করি নি,esob niye ami somossa kori ni,ইয়েন লইয়েরে বেঝাল নো গরি আই,iyen liyere bejhal no gori ai,Chittagong,I have no problem with these
বোনকে বাসায় পাঠিয়ে দিয়েছি,bonke basay pathiye diyechi,ভোইনেরে বাসাত ফাডাই দিয়ে,voinere basat fadai diye,Chittagong,I have sent my sister home
আমি এক কাপড়ে বাসা থেকে বের হয়ে এসেছি,ami ek kapore basha theke ber hoye esechi,আই এক হরত বাসাত্তুন আই গিয়ি,ai ek horot basattun ai giyi,Chittagong,I came out of the house in one cloth
কাল ঘটনাটা শোনার পর থেকে আমার দম বন্ধ লাগছিল,kal ghotonata shonar por theke amar dom bondho lagchilo,হালিয়া ঘটনাকান ফুনিবার ফরত্তুন আর দম বন্দ লার,haliya ghotonakan funibar forottun ar dom bondo lar,Chittagong,I felt choked up after hearing the incident yesterday
আমার স্বামী বাসায় ফিরলেই আমার কোলে মাথা রাখে,amar sami basay firlei amar kole matha rakhe,আর জামাই বাসাত আইলেইয়ার হোলত মাতা রাহে,ar jamai basat aileiyar holot mata rahe,Chittagong,My husband puts his head on my lap when he comes home
আমি একজন মেয়ে বয়স ২৩ বছর,ami ekjon meye boyosh ২৩  bochor,আই একজন ২৩ বছরর মাইয়ে ফোয়া,ai ekjon ২৩ bochoror maiye foya,Chittagong,I am a girl age 23 years
আমার বিয়ে হয়েছে ১ মাস,amar biye hoyeche ১ mash,আর বিয়া অইয়ে ১ মাস,ar biya oiye ১ mas,Chittagong,I have been married for 1 month
আমার স্বামী ভালো অনেক,amar shami valo onek,আর জামাই বহুত ভালা,ar jamai bohut vala,Chittagong,My husband is very good
আমি কিছুই জানতাম না,ami kichui jantam na,আই হোনো কিছু নো জানিতাম,ai hono kichu no janitam,Chittagong,I knew nothing
কি হবে তার জন্য কেঁদে?,ki hobe tar jonno kede?,কি অইবো তার হাদিয়েরে?,ki oibo tar hadiyere?,Chittagong,What will happen to him cry?
সে তো বুঝবেনা,se to bujhbena,সে তো নো বুঝে,se to no bujhe,Chittagong,He won't understand
তুমি বোকার মতো তাকে নিয়ে ভেবে বসে থাকবে কেন,tumi bokar moto take niye vebe bose thakbe keno,তুই বলদের ডেক্কে ইতেরে লই বই তাহিবি কিল্লাই,tui bolder dekke itere loi boi tahibi killai,Chittagong,Why are you thinking about him like a fool?
আমার ইচ্ছা আমি ভাব্বো ,amar iccha ami vabbo,আর ইচ্ছে আই ভাইব্বুম,ar icche ai vaibbum,Chittagong,I wish I thought
আমি তো বোকাই ,ami to bokai,আই তো বলদ,ai to bolod,Chittagong,I'm stupid
আমি কি বোকা? ,ami ki boka?,আই কি বলদ নে?,ai ki bolod ne?,Chittagong,Am I stupid?
তুমি অনেক চালাক,tumi onek chalak,তুই বত বড় সেয়ানা,tui bot boro seyana,Chittagong,you are very clever
আমি বার বার ভালোবেসে ঠকে গেছি,ami bar bar valobeshe thoke gechi,আই বারবার মঅব্বত গরি ধরা হাই ,ai barbar mobbot gori dhora hai,Chittagong,I have fallen in love again and again
ভালোবাসা অনেক কষ্টের ,valobasa onek koshter,মঅববত বত হষ্টের,mobobot bot hoshter,Chittagong,Love is very difficult
