bangla_speech ,banglish_speech ,sylhet_bangla_speech ,sylhet_banglish_speech ,region_name ,english_speech
একসাথে বসে খায় ও না,eksathe bose khay o na,এখলগে বইয়া খাইনও না,ekhloge biya khaino na,Sylhet,They do not eat together
আম্মু এসব দেখে খুব কষ্ট পাচ্ছেন যেহেতু আমার বাবা নেই,ammu esob dekhe khub koshto pacchen jehetu amar baba nei,আম্মা অতা দেকিয়া খুব খষ্ট পাইরা যেহেতু মোর আব্বা নাই,amma ota dekiya khub khoshto paira jehetu mor abba nai,Sylhet,Mom is very sad to see all this as I don't have a father
আমার স্বামী এসব নিয়ে কিছু বলতে গেলে উনি মনে করেন বউ ছেলের হয়ে গেছে,amar sami eshob niye kichu bolte gele uni mone koren bou cheler hoye geche, আমার জামাই ইতা লইয়া কিচ্ছু কওয়াত গেলে তাইন ভাবইন ফুয়া বউর অই গেছে,amar jamai ita liya kicchu koyat gele tain vabin fuya bour oi geche,Sylhet,"When my husband says something about these things, he thinks that his wife has become his son"
উনার আরো একটা ছেলে আছে,unar aro ekta chele ache,তানর আরো এখান ফুয়া আছে,tanor aro ekhan fuya ache,Sylhet,He has another son
সে চাকরি করে বিয়ে বিয়ে করে নাই,se cakri kore  biye kore nai,হে চাকরি করে বিয়া খরছে না,he chakri kore biya khorche na,Sylhet,He works and does not get married
মার কাছে ছোটো ছেলেই সব,mar kache choto chelei sob,আম্মার টাইন ছুটো ফুয়াও সব,ammar tain chuto fuyao shob,Sylhet,"To my mother, everything is a little boy"
তার ছোটো ছেলের কোন দোষ নেই,tar choto cheler kon dosh nei, তান ছুটো ফুয়ার কুনো দুষ নাই,tan chuto fuyar kuno dush nai,Sylhet,There is nothing wrong with his younger son
আমি নিজে দেখেছি সে কেমন বাজে ব্যবহার করে মায়ের সাথে,ami nije dekhechi se kemon baje bebohar kore mayer sathe,মুই নিজে দেখছি হে কিলান বাদ ব্যবহার করে আম্মার লগে,mui nije dekhchi he kilan bad bebohar kore ammar loge,Sylhet,I have seen myself how he misbehaves with his mother
সংসার এর সব খরচ আমার জামাই দেয়,songsar er sob khoroch amar jamai dey,সংসারর সারা খরচা মোর জামাইয়ে দেইন,songsaror sara khorcha mor jamaiye dein,Sylhet,All expenses of the family are paid by my son-in-law
সব কাজ আমি করি উনি একটা কাজ ও করেন না তাও আমরা খারাপ,sob kaj ami kori uni ekta kaj o koren na tao amra kharap,হখল কাম মুই খরি তাইন এখটা কামও খরইন না তাও আমরা ভালা নায়,hokhol kam mui khori tain ekhta kamo khorin na tao amra vala nay,Sylhet,"I do all the work, he doesn't even do a single work, we are bad"
আমার চাচা শ্বশুর সবাই আলহামদুলিল্লাহ নিজেদের বাড়ি গাড়ি করে ফেলেছেন,amar chacha shoshur sobai alhamdulillah nijeder bari gari kore felechen,মোর চাচা হউর সবে আলহামদুলিল্লাহ নিজরার বাড়ি গাড়ি করি লাইছইন,mor chacha hour sobe alhamdulillah nijrar bari gari kori laichoin,Sylhet,"Alhamdulillah, my uncle and in-laws have all driven home"
উনি নামাজ কালাম ও ঠিক মত পড়েন না,uni namaj kalam o thik moto poren na, তাইন নামাজ কালামও ঠিকঠাক পড়ইন না,tain namaj kalamo thikthak porin na,Sylhet,He does not recite prayers and kalam properly
আমি এখন এইগুলো মেনে নিতে পারছি না,ami ekhon eigulo mene nite parchi na, মুই অখন অতা মানিয়া নিতাম ফারিয়ার না,mui okhon ota maniya nitam fariyar na,Sylhet,I cannot accept these now
আমি চাচ্ছি আলাদা বাসায় চলে যাবো আমরা,ami cacchi alada basay cole jabo amra,মুই চাইয়ার আলেদা বাসাত যাইতাম গিয়া আমরা,mui chaiyar aleda bashat jaitam giya amra,Sylhet,I want us to go to separate houses
এইটা কি ঠিক সিদ্ধান্ত হবে আমাদের জন্য?,eita ki thik siddhanto hobe amader jonno?, অখটা কিতা ঠিগ সিদ্ধান্ত অইবো নি আমরার লাগি?,okhta kita thig siddhanto oibo ni amrar lagi?,Sylhet,Is this the right decision for us?
আমার বিয়ে হয়েছে চার বছর,amar biye hoyeche char bochor, মোর বিয়া অইছে চাইর বৎসর,mor biya oichechair botsor,Sylhet,I have been married for four years
আমার মা মারা গেছে আট মাস আগে,amar ma mara geche aat mas age,মোর আম্মা মারা গেছইন আট মাস আগে,mor amma mara gechin aat mash age,Sylhet,My mother died eight months ago
আমি আমার বাবা মার একমাত্র সন্তান,ami amar baba mar ekmatro shontan,মুই মোর বাফ মার একমাত্র সন্তান,mui mor baf mar ekmatro sontan,Sylhet,I am the only child of my parents
মা মরে যাওয়ার পর বাবা খুব একা হয়ে গিয়েছে,ma more jaoyar por baba khub eka hoye giyeche, আম্মা মুরা ফরে আব্বা খুব এখলা অই গেছলা,amma mura fore abba khub ekhla oi gechla,Sylhet,"After the death of the mother, the father became very lonely"
তাকে দেখার মত তেমন কেউ নেই,take dekhar moto temon keu nei, তানরে দেখার মতো তেমন খেউ নাই,tanre dekhar moto temon kheu nai,Sylhet,There is no one to watch him
আমি আমার সাধ্য অনুযায়ী চেষ্টা করি বাবার খোঁজ খবর নিতে,ami amar saddho onujayii ceshta kori babar khoj khobor nite,মুই  মোর সাইদ্ধ অনুযায়ী চেষ্টা খরিয়া আব্বার খোজ খবর নিতাম,mui  mor saiddho onujayi cheshta khoriya abbar khoj khobor nitam,Sylhet,I try my best to find out about father
আমার শ্বশুরবাড়ির লোকজন এটা একেবারেই পছন্দ করে না,amar shoshurbarir lokjon eta ekebarei pochondo kore na, মোর হউরবাড়ির মাইনশে ইতা এখেবারেউ ফছন্দ খরে না,mor hourbarir mainshe ita ekhebareu fochondo khore na,Sylhet,My in-laws don't like it at all
বাবার খোঁজখবর রাখার চেষ্টা করি সব সময়,babar khojkhobor rakhar ceshta kori sob somoy,আব্বার খোঁজখবর রাখার চেষ্টা খরি হখলসময়,abbar khojkhobor rakhar cheshta khori hokholsomoy,Sylhet,I always try to keep track of my father
আমার স্বামী এবং তার বাড়ির লোকজন কোনভাবেই রাজি না,amar sami ebong tar barir lokjon konovabei raji na,মোর জামাই আর তান বাড়ির মাইনশে কুনোমতেউ রাজি না,mor jamai ar tan barir mainshe kunomoteu raji na,Sylhet,My husband and his family do not agree at all
একটা মেয়ের বিয়ে যাওয়ার পর তার পরিবারের প্রতি তার কি কোন দায়িত্ব থাকতে পারে না?,ekta meyer biye hoye jaoyar por tar poribarer proti tar ki kon dayitto thakte pare na?,এখটা ফুড়ির বিয়া দেওয়ার বাদে কিতা পরিবারর প্রতি তার কুনো দায়িত্ব থাকতো ফারে নানি?,ekhta furir biya deoyar bade kita poribaror proti tar kuno dayitto thakto fare nani?,Sylhet,Can't a girl have any responsibility towards her family after getting married?
একটা ছেলে যেমন তার বাবা-মার দায়িত্ব পালন করে,ekta chele jemon tar baba-mar dayitto palon kore, এখটা ফুয়ায় যেমন তার বাফ মার দায়িত্ব পালন খরে,ekhta fuyay jemon tar baf mar dayitbto palon khore,Sylhet,As a son fulfills the duties of his parents
একটা মেয়েও যদি তার বাবার দায়িত্ব পালন করে সেই ক্ষেত্রে সমস্যাটা কোথায় আমি জানিনা,ekta meyeo jodi tar babar dayitto palon kore sei khetre somossata kothay ami janina, এখটা ফুুড়িও যদি তাইর বাফর দায়িত্ব পালন খরে তে সমস্যাটা কুন জাগাত আমি বুজি না,ekhta furio jodi tair bafor dayitto palon khore te somossata kun jagat ami buji na,Sylhet,I don't know where the problem is if a daughter also fulfills her father's duty
ঈদ গেছে দুইদিন পার হয়ে গেল,eid geche duidin par hoye gelo, ইদ গেছে দুইদিন পারই গেলো,eid geche duidin parii gelo,Sylhet,Eid has passed two days
আমি আমার বাবার বাসায় যাওয়ার অনুমতি পাচ্ছি না,ami amar babar basay jaoyar onumoti pacchi na,মুই মোর বাফর বাসাত যাওয়ার অনুমতি ফাইয়ার না,mui mor bafor basat jaoyar onumoti faiyar na,Sylhet,I am not allowed to go to my father's house
তাদের অনুমতির অপেক্ষা করতে হচ্ছে,tader onumotir opekkha korte hocche,তারার অনুমতির অফেক্ষা খরা লাগের,tarar onumotir ofekkha khora lager,Sylhet,They have to wait for permission
আমরা সবাই ঢাকায় থাকি,amra sobai dhakay thaki, আমরা হখলে ঢাকা থাকি,amra hokhole dhaka thaki,Sylhet,We all live in Dhaka
আমাদের পুরা বাড়ি জুড়ে বাবা একা দুই তিনজন কাজের লোক আছে সাথে,amader pura bari jure baba eka dui tinjon kajer lok ache sathe,আমরার পুরা বাড়ি জুড়িয়া আব্বা এখলা দুই তিনজন কামলা আছে লগে,amrar pura bari juriya abba ekhla dui tinjon kamla ache loge,Sylhet,Father alone has two or three servants with him throughout our house
বাবা খুব করে চাচ্ছিল যেন আমি বাসায় যাই,baba khub kore cacchilo jeno ami basay jai, আব্বায় খুব চাইছলা যাতে মুই বাসাত যাই,abbay khub chaichola jate mui basat jai,Sylhet,Dad wanted me to go home
আজ রাতে বাবা হঠাৎ করে অসুস্থ হয়ে পড়েছে খবর শুনে হাসপাতালে এলাম,aj rate baba hothat kore osustho hoye poreche khobor shune hospital e elam, আইজকু রাইত আব্বা আখতা বেমার পড়ায় খবর হুনিয়া হাসপাতাল আইলাম,aijku rait abba akhta bemar poray khobor huniya hospital  ailam,Sylhet,I came to the hospital after hearing the news that my father has suddenly fallen ill tonight
রাতের বেলায় হাসপাতালে আসতে চাইলাম সেখানেও বাধা,rater belay hospital e aste cailam sekhaneo badha,রাইতকু হাসপাতাল আইতাম চাইলাম হখানও বাধা দিলা,raitku hospital aitam chailam hokhano badha dila,Sylhet,I wanted to come to the hospital at night but there was also a barrier
সব বাধাকে পিছনে ফেলে আমি একাই হাসপাতালে এসেছি,sob badhake pichone fele ami ekai hospital e esechi,হখল বাধারে  করে ফালাইয়া মুই এখলাউ হাসপাতাল আইলাম,hokhol badhare  kore falaiya mui ekhlau hospital ailam,Sylhet,"Leaving all obstacles behind, I came to the hospital alone"
আমার স্বামী আমার সাথে আসেনি,amar sami amar sathe asheni,মোর জামাই মোর লগে আইছে না,mor jamai mor loge aiche na,Sylhet,My husband did not come with me
তাদের কথাবার্তা শুনে মনে হয়েছিল আমাকে বিয়ে করেছে মানে আমাকে কিনে নিয়েছে,tader kothabarta shune mone hoyechilo amake biye koreche mane amake kine niyeche,তারার মাত হুনিয়া মনে অর মোরে বিয়া খরছে মানে মোরে কিনিলচে,tarar mat huniya mone or more biya khorche mane more kiniloche,Sylhet,"After listening to their conversation, it seemed that they married me and bought me"
বাবাকে হাসপাতালে দেখে খুব খারাপ লাগছে,babake hospital e dekhe khub kharap lagche,আব্বারে হাসপাতালো দেকিয়া খুব খারাফ লাগছে,abbare hospitalo dekiya khub kharaf lagche,Sylhet,I am very sad to see my father in the hospital
আমি মনে হচ্ছে ভুল মানুষের সাথে সংসার শুরু করেছি,ami mone hocche vul manusher sathe songsar shuru korechi,মোর মুনে অর মুই ভুল মাইনশর লগে সংসার শুরু খরছি,mor mune or mui vul mainshor loge songsar shuru khorchi,Sylhet,I think I started a family with the wrong person
নিজের পছন্দ বিয়ে করাটা উচিত হয়নি,nijer pochondo biye korata uchit hoyni,নিজোর ফছন্দে বিয়া খরাটা উছিত অইছে না,nijor fochonde biya khorata uchit oiche na,Sylhet,You should not marry your own choice
আমি এখন থেকে সিদ্ধান্ত নিয়েছি আর কারো কথা আমি শুনবো না,ami ekhon theke siddhanto niyechi ar karo kotha ami shunbo na,মুই অঅখন সিদ্ধান্ত নিছি আর খেরুর মাত মুই হুনতাম নায়,mui okhon siddhanto nichi ar kherur mat mui huntam nay,Sylhet,I have decided from now on not to listen to anyone else
যতদিন ইচ্ছা বাবার বাসায় থাকবো বাবার সেবা যত্ন করব,jotodin iccha babar basay thakbo babar seba jotno korbo, যতদিন ইচ্চা আব্বার বাসাত থাকমু আব্বার সেবা যত্ন খরমু,jotodin iccha abbar basat thakmu abbar seba jotno khormu,Sylhet,"As long as I want to stay in my father's house, I will take care of my father's service"
এতে যদি আমার স্বামীর খুব বেশি সমস্যা হয়,ete jodi amar samir khub beshi somossa hoy,এতে যদি মোর জামাইর খুব বেশি সমস্যা অয়,ete jodi mor jamair khub beshi somossa oy,Sylhet,If my husband has too much problem with this
তাহলে তার সাথে আলাদা হয়ে যাব,tahole tar sathe alada hoye jabo,তে তান থাকি আলেদা অই যাইমু,te tan thaki aleda oi jaimu,Sylhet,Then I will break up with him
আমার সিদ্ধান্ত ভুল না সঠিক তা জানিনা,amar siddhanto vul na sothik ta janina,মোর সিদ্ধান্ত ভুল না সঠিক জানি না,mor siddhanto vul na sothik jani na,Sylhet,I don't know whether my decision is right or wrong
আমার সম্পর্কের ৪ বছর হতে চলল,amar somporker ৪ bochor hote chollo,মোর  সম্পর্কের ৪ বৎসর অই যার,mor  somporker ৪ botsor oi jar,Sylhet,It's been 4 years of my relationship
ছেলে আর কেউ না আমারই খালাতো ভাই ,chele ar keu na amari khalato vai , ফুয়া আর খেউ না আমার অউ মইর ঘরর ভাই,fuya ar kheu na amar ou mir ghoror vai,Sylhet,The boy is none other than my cousin
উনি দেশের বাহিরে থাকে খুব ঘন ঘন আসা যাওয়া করত,uni desher bahire thake khub ghono ghono asha jaoya korto,তাইন দেশোর বাইরে থাকইন খুব ঘন ঘন আওয়া যাওয়া খরতা ,tain deshor baire thakin khub ghono ghono aoya jaoya khorta,Sylhet,He lives outside the country and used to visit very often
তাই সম্পর্কটা বেশ ভালই ছিল,tai somporkota besh valo chilo,এর লাগি বেশ ভালা খাতির আছিল,er lagi besh vala khatir achilo,Sylhet,So the relationship was pretty good
উনি দেশে আসলে আমাকে এয়ার্পোটে যাইতে হইত,uni deshe asle amake airport jaite hoito ,তাইন দেশো আইলে মুই এয়ারপোর্ট যাওয়া লাগতো,tain desho aile mui airport jaoya lagto,Sylhet,"When he came to the country, I had to go to the airport"
এরপর সে আরেকটা ফ্লাইটে করে বাসায় যাইত,erpor se arekta flight e kore bashay jaito , এরবাদে তাইন আরোখটা ফ্লাইটো খরিয়া বাসাত যাইতা,erbade tain arokhta flighto khoriya basat jaita,Sylhet,Then he would take another flight home
আমার সাথে সে আগে দেখা করত,amar sathe se age dekha korto,মোর লগে তাইন আগে দেখা খরতা,mor loge tain age dekha khorta,Sylhet,He met me earlier
উনি শুধুমাত্র আমার সাথে দেখা করার জন্য দেশে আসছে,uni shudhumatro amar sathe dekha korar jonno deshe asche, তাইন খালি মোর লগে দেখা খরার লাগি দেশো আইরা ,tain khali mor loge dekha khorar lagi desho aira,Sylhet,He is coming to the country only to meet me
সে তাঁর বাসায়ও যায়নি,se tar basayo jayni,তাইন তানর বাসাত গেছইন না,tain tanor basat gechin na,Sylhet,He didn't even go to his house
উনার কাজ বাদে যেইটুকু সময় থাকত আমার সাথে কথা বলতো ,unar kaj bade jeituku somoy thakto amar sathe kotha bolto ,তানর কাম বাদে যতটুক সময় পাইতা মোর লগে মাততা,tanor kam bade jottuk somoy paita mor loge matta,Sylhet,He used to talk to me whenever he had time apart from work
আমি তাঁর সাথে সারারাত জেগে ফোনে কথা বলতাম,ami tar sathe sararat jege phone e kotha boltam,মুই তান লগে আস্তা রাইত জাগিয়া জোনে মাততাম,mui tan loge asta rait jagiya jone mattam,Sylhet,I stayed up all night talking to him on the phone
ডিসেম্বর মাসে সে তার পরিবারকে জানায় আমার কথা,December mase se tar poribarke janay amar kotha,ডিসেম্বর মাসো তাইন তান পরিবাররে জানাইছলা মোর খতা,december maso tain tan poribarre janaichola mor khota,Sylhet,In December she told her family about me
তার পরিবার কোনোমতেই এই বিয়েতে রাজি না,tar poribar konomotei ei biyete raji na,তান পরিবার কুনো মতেউ অউ বিয়াত রাজি নায়,tan poribar kuno moteu ou biyat raji nay,Sylhet,His family does not agree to this marriage
এরপর সে আমার সাথে যোগাযোগ রাখেনি,erpor se amar sathe jogajog rakheni, এরবাদে তাইন মোর লগে আর যুগাযুগ রাখছইন না,erbade tain mor loge ar jugajug rakhchoin na,Sylhet,After that he did not contact me
এইটাই আমার সাথে তার শেষ কথা,eitai amar sathe tar shesh kotha, অখটাউ তান লগে মোর শেষ মাত,okhtau tan loge mor shesh mat,Sylhet,This is the last thing he said to me
আমাকে ব্লক করে দেয় সবখান থেকেই,amake block kore dey sobkhan thekei, মোরে হখল খানো ব্লক খরি দিছইন,more hokhol khano block khori dichin,Sylhet,Blocks me everywhere
আমি নিজে অনেক অসুস্থ,ami nije onek osustho, মুই নিজে বাক্কা বেমার,mui nije bakka bemar,Sylhet,I myself am very sick
আমি বিগত ৬ মাস রাতে ঘুমাতে পারি না,ami bigoto ৬ mash rate ghumate pari na,মুই গত ৬ মাস রাইত গুমাইতাম ফারি না,mui goto ৬ mash rait gumaitam fari na,Sylhet,I can't sleep at night for the past 6 months
আমি বেশ কিছুদিন আগেই জানতে পারি আমার বড় বোন পরোকিয়ায় লিপ্ত,ami besh kichudin agei jante pari amar boro bon porokiyay lipto,মুই বাক্কা কয়দিন আগে জানতাম ফারছি মোর আফায় পরকীয়াত আছইন,mui bakka koydin age jantam farchi mor afay porokiyat achin,Sylhet,I came to know some time ago that my elder sister is indulging in extramarital affairs
তার অফিসের বিবাহিত এক লোকের সাথে,tar office er bibahito ek loker sathe, তানর অফিসর এখ বিয়াতি বেটার লগে,tanor officor ekh biyati betar loge,Sylhet,With a married man from his office
আমার বোন অবিবাহিত,amar bon obibahito,মোর বইন আবিয়াতি,mor boin abiyati,Sylhet,My sister is single
আমার বোনের কাজ কথা অনেক দিন ধরেই সন্দেহজনক মনে হওয়ায় আমি তাকে নজরে রাখছিলাম,amar boner kaj kotha onek din dhorei sondehojonok mone hoyay ami take nojore rakhchilam,"মোর বইনর কাম, মাত বাক্কাদিন ধরি সন্দেহজনক মনে অওয়ায় মুই তাইরে নজরো রাখছিলাম","mor boinor kam, mat bakkadin dhori sondehojonok mone ooyay mui taire nojoro rakhchilam",Sylhet,I was keeping an eye on my sister as her actions and words seemed suspicious for a long time
আমি বিশ্বাস করতে পারছিলাম না আমার বোন এই কাজ করবে,ami bisshas korte parchilam na amar bon ei kaj korbe,মুই বিশ্বাস খরতাম ফারছিলাম না মোর বইন অলা কাম করবা,mui bishsas khortam farchilam na mor boin ola kam korba,Sylhet,I couldn't believe my sister would do this
সে নানান বাহানায় বাসায় একা থাকতে চাইতো,se nanan bahanay basay eka thakte chaito,তাইন নানা ফন্দি ফিকির করিয়া বাসাত এখলা থাকতা চাইতা,tain nana fondi fikir koriya basat ekhla thakta chaita,Sylhet,He wanted to stay alone at home on various pretexts
বাসায় আমি ছাড়া কেও কিছু জানে না,basay ami chara keo kichu jane na.,বাসাত মুই ছাড়া আর খেউ কুনতা জানইন না,basat mui chara ar kheu kunta janin na,Sylhet,No one at home knows anything except me
আমার বাবা বেচে নেই,amar baba beche nei,মোর আব্বা  বাছিয়া নাই,mor abba  bachiya nai,Sylhet,My father is not alive
সমাজে সবাই আমাদের অনেক সম্মান দিয়ে চলে,somaje sobai amader onek somman diye chole,সমাজো হখলে আমরারে বাক্কা সম্মান দিয়া চলইন,somajo hokhole amrare bakka somman diya cholin,Sylhet,Everyone in the society respects us a lot
আমার বোন কেন এই পথে পা বাড়ালো জানাজানি হলে কিভাবে মুখ দেখাবো সেই চিন্তায় ঘুমাতে পারছি না,amar bon keno ei pothe pa baralo janajani hole kivabe mukh dekhabo sei cintay ghumate parchi na,মোর বইন খেনে অউ পথো পা বাড়াইলো জানাজানি অইলে কিলা মুখ দেখাইতাম হউ চিন্তাত ঘুমাইতাম পাররাম না,mor boin khene ou potho pa barailo janajani oile kila mukh dekhaitam hu chintat ghumaitam parram na,Sylhet,I can't sleep worrying about how I will show my face if I find out why my sister took this path
বাসায় কাকে জানাবো কিভাবে জানাবো বুঝতেছিনা,basay kake janabo kivabe janabo bujhtechina,বাসাাত খারে জানাইতাম কিলা জানাইতাম বুজিয়ার না,basat khare janaitam kila janaitam bujiyar na,Sylhet,I don't know how to tell who to tell at home
আমি আমার বোনের চেয়ে অনেক বছরের ছোট,ami amar boner ceye onek bochorer choto,মুই মোর আফা থাকি বাক্কা বছ্‌রর ছুটো,mui mor afa thaki bakka boch‌oror chuto,Sylhet,I am many years younger than my sister
আমার বোনকে কিভাবে এই পথ থেকে সরিয়ে আনবো কিছুই বুঝতে পারছি না,amar bonke kivabe ei poth theke soriye anbo kichui bujhte parchi na,মোর আফারে কিলা অউ রাস্তা থাকি হরাইয়া আনতাম কুনতা বুজিয়ার না,mor afare kila ou rasta thaki horaiya antam kunta bujiyar na,Sylhet,I don't know how to get my sister out of this way
বাসায় ভয়ে বলতে পারছি না,basay voye bolte parchi na,ডরাইয়া বাসাত খইতাম পাররাম না,doraiya basat khoitam parram na,Sylhet,I can't say it because I'm afraid at home
যদি আমি জেনে গেছি শুনে আমার ক্ষতি করার চেষ্টা করে,jodi ami jene gechi shune amar khoti korar ceshta kore,যদি মুই জানিলাইছি ইকান হুনিয়া মোর খেতি করার চেষ্টা করে,jodi mui janilaichi ikan huniya mor kheti korar cheshta kore,Sylhet,If I know and try to harm me
ঐ লোক যদি আমার বোনের কোনো ক্ষতি করে,oi lok jodi amar boner kono khoti kore, হেউ বেটা যদি মোর আফার কুনো খেতি করার চেষ্টা করে,heu beta jodi mor afar kuno kheti korar cheshta kore,Sylhet,If that person harms my sister
কি করা উচিত এমন পরিস্থিতিতে,ki kora ucit emon poristhitite,কিতা খরা উছিত অলা পরিস্থিতিত,kita khora uchit ola poristhitit,Sylhet,What to do in such situations
আমার মনে হচ্ছে আমি জেনে গেছি শুনে ওরা আমাকে খুন করতেও দুইবার ভাববে না,amar mone hocche ami jene gechi shune ora amake khun korteo duibar vabbe na, মোর গেছে লাগে মুই জানিলাইছি ইকান তারা হুনলে মোরে জানে মারতেও তারা দুইবার ভাবতা নায়,mor geche lage mui janilaichi ikan tara hunle more jane marteo tara duibar vabta nay,Sylhet,I feel like they won't think twice about killing me once they find out
এতো এতো সংসারের ঝামেলা দেখে পোস্ট করা,eto eto songsarer jhamela dekhe post kora, অতো অতো সংসারর ঝামেলা দেকিয়া পোস্ট খরা,oto oto songsaror jhamela dekiya post khora,Sylhet,Posting after seeing so many problems in the world
সন্ধ্যায় আমার মা এসে আমাকে অভিযোগ দিলো আমার বাবার সাথে ঝগড়া হয়েছে আবার,sondhay amar ma ese amake ovijog dilo amar babar sathe jhogra hoyeche abar, হাইঞ্জার সময় মোর আম্মায় আইয়া মোর গেছে অভিযোগ দিলা মোর আব্বার লগে আরখবার লাগ অইছে,hainjar somoy mor ammay aiya mor geche ovijog dila mor abbar loge arokhbar lag oiche,Sylhet,In the evening my mother came and complained to me that I had a quarrel with my father again
আগে পরের হিসাব বাদ আজকে ঝগড়ার বিষয় আব্বু বিদেশে থাকে,age porer hisab bad ajke jhograr bishoy abbu bideshe thake, আগর ফরর হিসাব বাদ আইজকু ঝগড়ার বিষয় আব্বা বিদেশ থাকইন,agor foror hisab bad aijku jhograr bishoy abba bidesh thakin,Sylhet,"Today, except for the first and second accounts, the subject of the quarrel is Abbu, who lives abroad"
সে সারাদিন কত কষ্ট করে কাজ করে,se saradin koto koshto kore kaj kore, তাইন হারাদিন খতো খষ্ট খরি কাম করইন,tain haradin khoto khoshto khori kam korin,Sylhet,How hard he works all day
এক বেলা খাওয়ার সময় পায় এসব আম্মু কে বলছে,ek bela khaoyar somoy pay esob ammu ke bolche, এখবেলা খাওয়ার সময় পাইন ইতা আম্মারে কিগুয়ে কইছে,ekhbela khaoyar somoy pain ita ammare kiguye kiche,Sylhet,He is saying these things to his mother when he has time to eat
আম্মু তখন উলটে বলছে আমি ও সারাদিন অনেক কাজ করি,ammu tokhon ulte bolche ami o saradin onek kaj kori, আম্মা হেসময় উল্টাইয়া খইরা মুইও হারাদিন বাক্কা কাম খরি,amma hesomoy ultaiya khoira muio haradin bakka kam khori,Sylhet,Mom says that I do a lot of work all day
গত কাল না খেয়ে রোজা ছিলাম,goto kal na kheye roja chilam, গতদিন আনা খাইয়া রুজা আছলাম,gotodin ana khaiya ruja achlam,Sylhet,Yesterday I was fasting without eating
এটা শুনে আব্বু রেগে ফোন কেটে দিছে,eta shune abbu rege phone kete diche, অউ মাত হুনিয়া আব্বায় গুসা খরি ফোন কাটি দিছইন,ou mat huniya abbay gusa khori phone kati dichin,Sylhet,"Hearing this, Abbu hung up the phone angrily"
আমি আম্মু কে বললাম আব্বু শুনতে চাইছে একটু সান্ত্বনা ,ami ammu ke bollam abbu shunte chaice ektu shantona,মুর আম্মারে খইলাম আব্বায় হুনতা চাইছইন এখটু সান্ত্বনা,mur ammare khoilam abbay hunta chaichin ekhtu santona,Sylhet,I told my mother that my father wants to hear some consolation
আমিও বুঝি তুমি অনেক কষ্ট করো,amio bujhi tumi onek koshto koro,মুইও বুজি তুমি বাক্কা খষ্ট করো,muio buji tumi bakka khoshto koro,Sylhet,I also understand that you suffer a lot
আম্মুর কথা কয়দিন আগে আমি তাকে একটা কষ্টের কথা বলছি,ammur kotha koydin age ami take ekta koshter kotha bolchi, আম্মার খতা খয়দিন আগে মুই তানরে এখটা খষ্টর মাত কইছি,ammar khota khoydin age mui tanre ekhta khoshtor mat koichi,Sylhet,A few days ago I was telling her about a problem
সে আমার সাথে কি করলো আমাকে ও তাই করতে হবে,se amar sathe ki korlo amake o tai korte hobe,হে আমার লগে কিতা খরলো মোরেও অলা খরা লাগবো,he amar loge kita khorlo moreo ola khora lagbo,Sylhet,I have to do what he did to me
এমন মনোভাব নিয়ে সংসারে কখনো সুখ আসে না,emon monovab niye songsare kokhono sukh ase na, অলা মনোভাব লইয়া সংসারো কুনোদিন সুখ আয় না,ola monovab loiya songsaro kunodin sukh ay na,Sylhet,Happiness never comes in the world with such an attitude
আমার মার কাছে আমার জামাই খুব ভাল,amar mar kache amar jamai khub valo,মোর আম্মার টাইন মোর জামাই খুব ভালা,mor ammar tain mor jamai khub vala,Sylhet,My son-in-law is very good to my mother
এক কথায় সোনার টুকরো স্বামী আমার,ek kothay sonar tukro sami amar,এখ খতায় সুনার টুকরা জামাই আমার,ekh khotay sunar tukra jamai amar,Sylhet,"In a word, my husband is a piece of gold"
"আমাকে বোঝে, আমার সব কথা শোনে","amake bojhe, amar sob kotha shone", মোরে বুঝে মোর হখল খতা হুনে,more bujhe mor hokhol khota hune,Sylhet,"Understands me, listens to all my words"
আমার হয়ে প্রতিবাদ করে আরো কত গুন,amar hoye protibad kore aro koto gun,মোর অইয়া ফতিবাদ খরে আরো কতক গুণ,mor oiya fotibad khore aro kotok gun,Sylhet,How many more times protested for me
আমি তাকে এইগুলো শিখাইছি,ami take eigulo shikhaichi,  মুই তানরে অতা হিখাইছি,mui tanre ota hikhaichi,Sylhet,I am teaching him these
আমি রেগে থাকলেও সে বুঝতো না,ami rege thakleo se bujhto na,  মুুই বেমার থাকলেও তাইন বুঝতা না,mui bemar thakleo tain bujhta na,Sylhet,"Even if I was angry, he didn't understand"
আমি পাশে বসায়ে বলছি যে এই কাজের জন্য আমার খারাপ লাগছে,ami pashe bosaye bolchi je ei kajer jonno amar kharap lagche,আমি লগে বওয়াইয়া কইছি যে অতা কামর লাগি আমার বাদ লাগছে,ami loge boyaiya koichi je ota kamor lagi amar bad lagche,Sylhet,I'm just saying that I feel bad for this job
এখন তুমি আমার কাছে ক্ষমা চাও,ekhon tumi amar kache khoma chao,অখন তুমি আমার টাইন মাফ চাও,okhon tumi amar tain maf chao,Sylhet,Now you apologize to me
আমি তাকে কখনো তার কোনো কাজ নিয়ে খোটা দেই নি,ami take kokhono tar kono kaj niye khota dei ni, মুই কুনোসময় তানর কুনো কাম লইয়া খুটা দেই না,mui kunosomoy tanor kuno kam loiya khuta dei na,Sylhet,I never scolded him for any of his work
