bangla_speech ,banglish_speech ,barishal_bangla_speech ,barishal_banglish_speech ,region_name ,english_speech
তাই তখন সে কারও সাথে কথা বলত না,tai tokhon se karo sathe kotha bollo na,হেইতে তহন হ্যায় কারো লগে কথা কইতে না,heite tohon hey karo loge kotha koite na,Barishal ,So then he didn't talk to anyone
মানুষের বার্ধক্য আর মৃত্যুকে ঠেকানো যায় না,manusher bardhokko ar mrittuke thekano jay na,মানের বয়স আর মরন ঠেহাইন্না যায় না,maner boyosh ar moron thehainna jay na,Barishal ,Human aging and death cannot be prevented
তবু প্রতিটি মৃত্যু মানুষকে কষ্ট দেয়,tobu protiti mrittu manushke koshto dey,হ্যাও প্রতিডা মরন মানেরে কষ্ট দ্যায়,hey o protida moron manere koshto dey,Barishal ,Yet every death hurts people
শেষ বলে ছয় মেরে বাংলাদেশ জিতে গেল,shesh bole choy mere bangladesh jite gelo,শ্যাষ বলে ছক্কা মাইররা বাংলাদেশ জিততা গ্যাছে,shesh ball e chokka mairra bangladesh jitta geche,Barishal ,Bangladesh won by hitting six in the last ball
আহ্! কী চমৎকার খেলাই না দেখলাম,ah! ki comotkar khelai na dekhlam,আহা কি চমেতকার খেলা দ্যাখলাম,aha ki chometkar khela dekhlam,Barishal ,Ah! What a wonderful game I saw
"ছোটো বোন চিৎকার দিয়ে উঠল, দারুণ","choto bon chitkar diye uthlo, darun!",ছোডো বুইন চিল্লান দিয়া ওঠছে দারুণ,chodo buin chillan diya othche darun,Barishal ,"The younger sister exclaimed, great"
"বাহ্, এমন খেলা বহুদিন দেখিনি","bah, emon khela bohudin dekhini",বাহ এইরহম খ্যালা ম্যালাদিন দেহিনাই,bah eirohom khela meladin dehinai,Barishal ,"Wow, I haven't seen a game like this in a long time"
"আহা! যারা হেরে গেল, ওদের মনে অনেক কষ্ট","aha! jara here gelo, oder mone onek koshto",আহারে যেরা হাইররা গ্যাছে অগো মনে বেমালা কষ্ট,ahare jera hairra geche ogo mone bemala koshto,Barishal ,"Aha! Those who lost, have a lot of pain in their hearts"
খেলায় হারজিত থাকতেই পারে,khelay harjit thaktei pare,খ্যালায় হারজিত থাকতেই পারে,khelay harjit thaktei pare,Barishal ,The game may be lost
আরে! এর মধ্যেই দেখি বিজয় মিছিল শুরু হয়ে গেছে,are! er moddhei dekhi bijoy michil shuru hoye geche,অরে ব্যাডা এইয়ার মইধ্যেই দেহি বিজয় মিছিল শুরুহইয়া গ্যাছে,ore beda eiyar moidhjei dehi bijoy michil shuruhiya geche,Barishal ,"Hey! In the meantime, I see the victory procession has started"
বাপরে বাপ! কত বড়ো মিছিল,bapre bap! koto boro michil,বাপরে বাপ কত্তোর মিছিল,bapre bap kottor michil,Barishal ,Father father! What a great procession
একটি শব্দের অনেক রকম অর্থ থাকতে পারে,ekti shobder onek rokom ortho thakte pare,এউক্কা শব্দের ম্যালা রহমের অর্থ থাকতে পারে,eukka shobder mela rohomer ortho thakte pare,Barishal ,A word can have many different meanings
আম পাকে বৈশাখে কুল পাকে ফাগুনে,aam pake boishakhe kul pake fagune,আম পাহে বৈশাখে কুল পাহে ফাগুনে,aam pahe boishakhe kul pahe fagune,Barishal ,Mangoes ripen in Boishakhe and cools ripen in Phagun
কাঁচা ইট পাকা হয় পোড়ালে তা আগুনে,kacha it paka hoy porale ta agune,কাচা ইট পাহা হয় পুড়াইলে হেইয়া আগুনে,kacha it paha hoy puraile heiya agune,Barishal ,Raw bricks are matured when they are burnt in fire
"রোদে জলে টিকে রং, পাকা কই তাহারে","rode jole tike rong, paka ki tahare",রউদে জইল্যা টেহে রঙ পাহা কই হেইয়ারে,rude joilla tehe rong paha ki heiyare,Barishal ,The colors that survive in the sun are ripe
ফলারটি পাকা হয় লুচি দই আহারে,folarti paka hoy luchi doi ahare,খাওনডা পুরা হয় লুচি দই খাওনে,Data Where ?,Barishal ,The fruit is ripened by eating luchi curd
চুল পাকে বয়সে,chul pake boyse,চুল পাহে বাতাসে,chul pahe batase,Barishal ,Hair grows old
পাকা ছেলে বেশি কথা কয় সে,paka chele beshi kotha koy se,পাকনা পোলা ম্যালা কথা কয় হ্যায়,pakna pola mela kotha koy hey,Barishal ,He is a mature boy who talks a lot
কান পাকে ফোড়া পাকে,kan pake fora pake,কান পাহে ফোড়া পাহে,kan pahe fora pahe,Barishal ,Ears are ripe with boils
বুদ্ধি পাকিয়ে তোলে লেখাপড়া গিলিয়ে,buddhi pakiye tole lekhapora giliye,বুদ্ধি পাহাইয়া উডায় লেহাপড়া গিলাইয়া,buddhi pahaiya uday lehapora gilaiya,Barishal ,Wisdom is made by swallowing education
কথা যার পাকা নয় কাজে তার ঠনঠন,kotha jar paka noy kaje tar thonthon,কথা যের পাহা না কামে হ্যার ঠনঠন,kotha jer paha na kame her thonothon,Barishal ,Whose words are not seasoned in action
অনেক দূরের পথ,onek durer poth,বেমালা দুরের পথ,bemala durer poth,Barishal ,A long way
বাসে করেই তাঁকে রওনা দিতে হলো,bus e korei take rouna dite holo,বাসে কইররাই হ্যারে রওনা দেতে হইছে,bus e koirrai here rowna dete hoiche,Barishal ,He had to leave by bus
"বাস থেকে যখন নামলেন, তখন সকাল হয়ে গেছে","bus theke jokhon namlen, tokhon sokal hoye geche",বাসে গোনে যহন নামছে তহন বেইন্নাহাল হইয়া গ্যাছে,bus e gone johon namche tohon beinnahal hoiya geche,Barishal ,"When he got off the bus, it was morning"
সকাল হয়ে গেছে,sokal hoye geche,বেয়ান হইয়া গ্যাছে,beyan hoiya geche,Barishal ,It's morning
একটা ভালো কাজ করতে পারবেন,ekta valo kaj korte parben,এউক্কা ভালো কাম করতে পারবেন?,eukka valo kam korte parben?,Barishal ,You can do a good job
তোমাদের কারো বিশ্বাস হবে না,tomader karo bisshas hobe na,তোমাগো কারো বিশ্বাস হইবেনা,tomago karo bisshas hoibena,Barishal ,None of you will believe it
কথাটি তোমাদের কারো বিশ্বাস হবে না,kothati tomader karo bisshas hobe na,কথাডা তোমাগো কারো বিশ্বাস হইবেনা,kothada tomago karo bisshas hoibena,Barishal ,None of you will believe this
অনেকগুলো নতুন বই দেখে  আমি অবাক হয়ে বললাম,onekgulo notun boi dekhe  ami obak hoye bollam,বেমালা নতুন বই দেইকখা মুই অটাশ হইয়া কইলাম,bemala notun boi deikkha mui otash hoiya koilam,Barishal ,I was surprised to see so many new books
আপনি কি আমাদের বাড়িতে এসেছেন,apni ki amader barite esechen,আমনে কি মোগো বাড়ি আইছেন,amne ki mogo bari aichen,Barishal ,have you come to our house
তিনি আমার কথার জবাবে কিছু বললেন না,tini amar kothar jobabe kichu bollen na,হ্যায় মোর কথার উত্তরে কিছু কইলেন না,hey mor kothar uttore kichu koilen na,Barishal ,He didn't say anything in response to my words
তিনি আমার কথার জবাবে ছোটো করে বললেন হ্যাঁ,tini amar kothar jobabe choto kore bollen ha,হ্যায় মোর কথার উত্তরে ছোডো কইররা কইলেন হ,hey mor kothar uttore chodo koirra koilen ho,Barishal ,He responded with a curt yes
বইগুলোর দিকে তাকিয়ে ছিলাম,boigulor dike takiye chilam,বইডির দিক চাইয়া আল্লাহম,boidir dik chaiya allahom,Barishal ,I was looking at the books
শুধু তাঁর হাতের দিকে তাকিয়ে ছিলাম,shudhu tar hater dike takiye chilam,খালি হ্যার হাতের দিক চাইয়া আল্লাহম,khali her hater dik chaiya allahom,Barishal ,I was just looking at his hand
কেন তা কি জানতে পারি? ,ken ta ki jante pari?,কির লইজ্ঞা হেইয়া কি জানতে পারি?,kir loigga heiya ki jante pari?,Barishal ,Do you know why?
পরে আমরা লাইব্রেরি দেখতে যাই,pore amra library dekhte jai,হেইয়ার পর মোরা লাইব্রেরি দ্যাখতে যাই,heiyar por mora library dekhte jai,Barishal ,Later we visited the library
"খুবই বড়ো লাইব্রেরি সন্দেহ নেই, ব্যবস্থাও খুব ভালো","khubi boro llibrary sondeho nei, bebosthao khub valo","বেমালা বড় লাইব্রেরি সন্দেহ নাই, ব্যবস্থাও ম্যালা ভালো","bemala boro library sondeho nai, bebosthao mela valo",Barishal ,"Very big library no doubt, system is also very good"
রিডিং রুমগুলো ভাগ ভাগ করা রয়েছে,reading roomgulo vag vag kora royeche,পড়ার রুমগুলান ভাগ ভাগ করা রইছে,porar roomgulan vag vag kora roiche,Barishal ,Reading rooms are divided
শিক্ষকরাও তাদের সাথে আছেন,shikkhokerao tader sathe achen,শিক্ষকরাও হ্যাগো লগে আছে,shikkhokrao hego loge ache,Barishal ,Teachers are also with them
যাওয়ার সাথে সাথে কী একটা শব্দ করল,jaoyar sathe sathe ki ekta shobdo korlo,যাওনের লগে লগে কিরহম এউক্কা আওয়াজ করল,jaoner loge loge kirohom eukka aoyaj korlo,Barishal ,"As he went, he made a sound"
আর সকল ছেলেমেয়ে লাইন বেঁধে দাঁড়িয়ে গেল,ar sokol chelemeye line bedhe dariye gelo,আর হগল পোলামাইয়া লাইন বাইন্ধা খাড়াইয়া গ্যাল,ar hogol polamaiya lain baindha kharaiya gel,Barishal ,And all the children stood in a line
আমরা সালাম গ্রহণ করলাম,amra salam grohon korlam,মোরা সালাম নেলাম,mora salam nelam,Barishal ,We accepted salam
তারা স্লোগান আরম্ভ করল,tara slogan aromvo korlo,হ্যারা স্লোগান আরম্ভ করল,hera slogan aromvo korlo,Barishal ,They started chanting
আমরা বিদায় নিয়ে চলে এলাম,amra biday niye chole elam,মোরা বিদায় লইয়া চইললা আইলাম,mora biday loiya choilla ailam,Barishal ,We said goodbye
আমি সাগর পাড়ি দেবো,ami sagor pari debo,মুই সাগর পাড়ি দিমু,mui shagor pari dimu,Barishal ,I will cross the sea
সব দিনের মতো সেদিনও ওরা খেলতে গিয়েছিল,sob diner moto sedino ora khelte giyechilo,হগলদিনের নাহান হেইদিনও অরা খ্যালতে গ্যাল্লেহ,hogoldiner nahan heidino ora khelte gelleh,Barishal ,"Like every other day, they went to play"
কয়েকজন লোক ফিতা নিয়ে মাপজোখ করছে,koyekjon lok fita niye mapjokh korche,গোডাচাইরে মানু ফিতা লইয়া মাপামাপি করতেয়াছে,godachaire manu fita liya mapamapi korteyache,Barishal ,A few people are measuring with ribbons
একজনের হাতে আবার মোটা একটা খাতা,ekjoner hate abar mota ekta khata,একজনের হাতে আবার মোডা এউক্কা খাতা,ekjoner hate abar moda eukka khata,Barishal ,One has a thick notebook in his hand
সেখানে কলম দিয়ে কীসব টুকে রাখছে,sekhane kolom diye kishob tuke rakhche,হেইহানে কলম দিয়া কিজানি তুইল্লা রাখতেয়াছে,heihane kolom diya kijani tuilla rakhteyache,Barishal ,What are the pieces with the pen
"কী করছে, তা তো জানি না","ki korche, ta to jani na",কি করতেয়াছে হেইয়া তো জানি না,ki korteyache heiya to jani na,Barishal ,I do not know what he is doing
কয়েকজন একসঙ্গে বলে ওঠে,koyekjon eksonge bole othe,কয়েকজন একলগে কইয়া ওডে,koyekojon ekloge koiya ode,Barishal ,Some said together
বদলে যাচ্ছে আমাদের খেলার মাঠটা তাই না?,bodle jacche amader khelar mathta tai na?,পালডাইয়া যাইতেয়াছে মোগো খ্যালার মাঠটা না?,paldaiya jaiteyache mogo kelar mathta na?,Barishal ,"Our playground is changing, isn't it?"
কোন বিষয় নিয়ে আমার রাগ থাকলে আমি কিছু বললেও উনি চুপ করে থেকে আমাকে বুঝায়,kono bishoy niye amar rag thakle ami kichu bolleo uni cup kore theke amake bujhay,কোন বিষয় লইয়া মোর রাগ থাকলে মুই কিছু কইলেও হ্যায় চুপ কইররা থাইক্কা মোরে বুঝায়,kon bishoy liya mor rag thakle mui kichu koileo hjay chup koirra thaikka more bujhay,Barishal ,"If I am angry about something, even if I say something, he keeps quiet and understands me"
নিজেকে উনি দূর্বল ভেবে এমন করে ,nijeke uni durbol vebe emon kore,নিজেরে দুর্বল ভাইব্বা এইরহম করে,nijere durbol vaibba eirohom kore,Barishal ,He thinks himself weak and does so
উনি মানুষটাই এমন সবাই বলে অনেক ভাগ্য করে নাকি এমন স্বামী পাইছি,"uni manushtai emon ,sobai bole onek vaggo kore naki emon sami paichi",হ্যায় মানুডা এমন হগলডি কয় ম্যালা ভাগ্য কইররা এরহম জামাই পাইছি,hey manuda emon hogoldi koy mela vaggo koirra erohom jamai paichi,Barishal ,"He is such a man, everyone says that he is lucky to have such a husband"
আসলেই মানুষটার প্রতি আমি মুগ্ধ,asolei manushtar proti ami mugdho,আসলেই মানুডার উপরে মুই মুগ্ধ,asolei manudar upore mui mugdho,Barishal ,I am really impressed with the man
এই মুগ্ধতায় বিভোর থাকতে চাই আমি আজীবন,ei mugdhotay bivor thakte chai ami ajibon,এইরহম মুগ্ধতায় বিভোর থাকতে চাই মুই হারাজীবন,eirohom mugdhtay bivor thakte chai mui harajibon,Barishal ,I want to stay in this fascination forever
স্বামীর প্রতি আমার বিন্দুমাত্র কোন অভিযোগ নেই,samir proti amar bindumatro kon ovijog nei,জামাইর উপরে মোর একটুও কোন বিচার নাই,jamair upore mor ektuo kono bichar nai,Barishal ,I have no complaints against my husband at all
চলো একদিন দেখা করি পুরো শহর রিক্সায় ঘুরবো,cholo ekdin dekha kori puro shohor rickshay ghurbo,লও একদিন দ্যাহা করি পুরা শহর রিসকায় ঘুরমু,low ekdin deha kori pura shohor rickshaw ghurmu,Barishal ,Let's meet one day and go around the city in a rickshaw
এর মাঝখানে চাকরির পড়াশোনায় বেশ খানিকটা ক্ষতি হয়ে যায়,er majhkhane chakrir porashonay besh khanikta khoti hoye jay,এইয়ার মইধ্যে চাকরির পড়ালেহায় ম্যালা ক্ষেতি হইয়া যায়,eiyar moiddhe chakrir poralehay mela kheti hoiya jay,Barishal ,"In the midst of this, job training suffers quite a bit"
আমি আজকে কফি খাই নাই ,ami ajke coffee khai nai, মুই আইজ কফি খাইনাই,mui aij coffe khainai,Barishal ,I haven't had coffee today
আমার মাথায় অনেক ব্যাথা করছে ,amar mathay onek betha korche,মোর মাথায় ম্যালা ব্যাথা করতেয়াছে,mor mathay mela betha korteyache,Barishal ,My head hurts a lot
তোমার সৌন্দর্যে আমি মুগ্ধ,tomar soundorje ami mugdho,তোমার সৌন্দর্যে মুই মুগ্ধ,tomar soundorje mui mugdho,Barishal ,I am fascinated by your beauty
আমি আজকে সকালে তার সাথে কথা বলেছি ,ami ajke sokale tar sathe kotha bolechi,মুই আইজ বেইন্নাহালে হ্যার লগে কথা কইছি,mui aij beinnahale her loge kotha koichi,Barishal ,I spoke to him this morning
তুমি কি আমায় ঘুরতে নিয়ে যাবে? ,tumi ki amay ghurte niye jabe?,তুমি কি মোরে ঘোরতে লইয়া যাবা?,tumi ki more ghorte loiya jaba?,Barishal ,will you take me for a walk
আমার স্বামী ৩ বছর ধরে বিদেশে আছেন,amar sami 3 bochor dhore bideshe achen,মোর জামাই ৩ বছর ধইররা বিদেশ আছে,mor jamai ৩ bochor dhoirra bidesh ache,Barishal ,My husband is abroad for 3 years
তুমি কি রাতে খেয়েছো ?,tumi ki rate kheyecho ?,তুমি কি রাইতে খাইছো?,tumi ki raite khaicho?,Barishal ,did you eat at night
আপনি কি রাতে খেয়েছেন ?,apni ki rate kheyechen ?,আমনে কি রাইতে খাইছেন?,amne ki raite khaichen?,Barishal ,Did you eat at night?
ছেলেটির নানার বাড়ি বরিশালে,cheletir nanar bari barishale,পোলাডার নানা বাড়ি বরিশাল,poladar nana bari barishal,Barishal ,The boy's maternal grandfather's house is in Barisal
ছেলেটির গ্রামের বাড়ি রাজশাহীতে,cheletir gramer bari rajshahite,পোলাডার গেরামের বাড়ি রাজশাহী,poladar geramer bari rajshahi,Barishal ,The boy's village home is in Rajshahi
আমার ফেসবুক আইডিটা যদি চিড়িয়াখানা হতো,amar facebook id ta jodi chiriyakhana hoto,মোর ফেসবুক আইডি ডা যদি চিড়িয়াখানা হইতে,mor facebook aidi da jodi chiriyakhana hoite,Barishal ,If my Facebook ID was a zoo
ঢাকার মিরপুরে কাল থেকে বিদ্যুৎ যাচ্ছে না কেন,dhakar mirpure kal theke biddut jacche na keno,ঢাহার মিরপুরে কাইলগো গোনে কারেন্ট যাইতেয়াছেনা কির লইজ্ঞা?,dhahar mirpure kailgo gone current jaiteyachena kir loigga?,Barishal ,Why is there no electricity in Dhaka's Mirpur since yesterday?
বিদ্যুৎ সমস্যার কি সমাধান হয়ে গেছে  ?,biddut somossar ki somadhan hoye geche  ?,কারেন্টের সমেস্যার কি সুরাহা হইছে?,current somessar ki suraha hoiche?,Barishal ,Has the electricity problem been solved?
পৃথিবীতে বাবার পরেই দ্বিতীয় বীর যোদ্ধা হলেন বড়ভাই,prithibite babar porei ditiyo bir joddha holen borovai,পিরথিবীতে আব্বার পরেই দুইনম্বর বীর যোদ্ধা হইলে ন্যাভাই,pirthibite abbar porei duinumbor bir joddha hoile navai,Barishal ,The elder brother is the second brave warrior in the world after father
 আমার খিদে পেয়েছে,amar khide peyeche,মোর খিদা পাইছে,mor khida paiche,Barishal ,I'm hungry
 সামনে কোরবানি ঈদ আসছে,samne korbani eid asche,সামনে কোরবানির ঈদ আইতেয়াছে,samne korbanir eid aiteyache,Barishal ,Eid al-Adha is coming
কোরবানি ঈদ হলো ইসলামিক ধর্মের একটি প্রধান উৎসব,korbani eid holo islamik dhormer ekti prodhan utshob,কোরবানির ঈদ হইলে ইসলাম ধর্মের এউক্কা পোরধান উৎসব,korbanir eid hoile islam dhormer eukka pordhan utshob,Barishal ,Eid al-Adha is a major festival of Islam
রেগে গেলেন তো হেরে গেলেন,rege gelen to here gelen,চেইত্যা গ্যাছেন ত্যায় ঠইজ্ঞা গ্যাছেন,cheitta gechen tey thoigga gechen,Barishal ,"If you get angry, you lose"
সুস্থ দেহ ও প্রশান্ত মন একজন মানুষের সব থেকে বড় সম্পদ,sustho deho o proshanto mon ekjon manusher sob theke boro sompod.,সুস্থ দেহ আর প্রশান্ত মন এউক্কা মানের সব চাইয়া বড় সম্পদ,sustho deh ar proshanto mon eukka maner sob chaiya boro shompod,Barishal ,A healthy body and a peaceful mind are the greatest assets of a person
আমার কাজ ও ব্যস্ততা বাড়ছে,amar kaj o bestota barche,মোর কাম আর ব্যস্ততা বাড়তেয়াছে,mor kam ar bestotta barteyache,Barishal ,My work and busyness is increasing
অন্যের দোষ সহজেই খুঁজে পাওয়া যায়,onner dosh sohojei khuje paoya jay,অন্যের দোষ সহজেই খুইজ্জা পাওন যায়,onner dosh sohojei khuijja paon jay,Barishal ,It is easy to find fault with others
নিজের দোষ খুঁজে পাওয়া খুব কষ্টকর,nijer dosh khuje paoya khub koshtokor,নিজের দোষ খুইজ্জা পাওয়া ম্যালা কষ্টকর,nijer dosh khuijja paoya mela koshtokor,Barishal ,It is very difficult to find fault with oneself
প্রতিদিন আমি কিছু না কিছু শিখবো,protidin ami kichu na kichu shikhbo,পেরতেকদিন মুই কিছু না কিছু শিখমু,pertekdin mui kichu na kichu shikhmu,Barishal ,Every day I will learn something
সুখী হতে হলে অপ্রয়োজনীয় অনেক কিছু ভুলে যেতে হয়,sukhi hote hole oproyojonio onek kichu vule jete hoy,সুখী হইতে হইলে অপ্রয়োজনীয় ম্যালা কিছু ভুইল্লা যাইতে হয়,sukhi hoite hoile oproyojoniyo mela kichu vuilla jaite hoy,Barishal ,To be happy you have to forget many unnecessary things
সবাই ভালোবাসা পেতে চায়,sobai valobasa pete chay,হগলডি ভালোবাসা পাইতে চায়,hogoldi valobasha paite chay,Barishal ,Everyone wants to be loved
দৃষ্টিভঙ্গি বদলালে জীবন বদলে যাবে,drishtivonggi bodlale jibon bodle jabe,দৃষ্টিভঙ্গি পালডাইলে জীবন পালডাইয়া যাইবে,drishtivonggi paldaile jibon paldaiya jaibe,Barishal ,Changing the perspective will change the life
আজ ছুটির দিন,aj chutir din,আইজগো ছুটির দিন,aijgo chutir din,Barishal ,Today is a holiday
 সবার জীবনে একটি লক্ষ্য থাকতে হবে,sobar jibone ekti lokkho thakte hobe,হগলডির জীবনে এউক্কা লক্ষ্য থাকতে হইবে,hogoldir jibone eukka lokkho thakte hoibe,Barishal ,Everyone should have a goal in life
 লক্ষ্য ঠিক করে আমরা জীবনে এগিয়ে যেতে পারি,lokkho thik kore amra jibone egiye jete pari,লক্ষ্য ঠিক কইররা মোরা জীবনে আউগাইয়া যাইতে পারি,lokkho thik koirra mora jibone augaiya jaite pari,Barishal ,By setting goals we can move forward in life
সবাইকে স্বাগতম,shobaike shagotom,বেবাকেরে স্বাগতম,bebakere shagotom,Barishal ,Welcome everyone
কেরোসিন তেলের দাম কমার ফলে অক্টোবরে চাহিদা কিছুটা বেড়েছিল,kerosene teler dam komar fole  october e chahida kichuta berechilo,কেরেস্তাল ত্যালের দাম কমার লইজ্ঞা অক্টোবরে চাহিদা এট্টু বাড়ছেলে,kerestal teler dam komar loigga october chahida ettu barchele,Barishal ,Declining kerosene oil prices led to a slight increase in demand in October
প্রতিদিন অন্তত একটি পেয়ারা করে খেলে পেতে পারেন অনেক উপকার,protidin ontoto ekti peyara kore khele pete paren onek upkar,পেরতেকদিন খালি এউক্কা হোবরি খাইতে পারেন বেমালা উপকার,pertekdin khali eukka hobri khaite paren bemala upokar,Barishal ,You can get many benefits by eating at least one guava every day
বিভিন্ন ফলের মধ্যে পেয়ারা অন্যতম জনপ্রিয় ফল,bivinno foler moddhe peyara onnotomo jonopriyo fol,বিভিন্ন ফলগুলার ভিত্রে হোবরি অন্যতম জনপ্রিয় ফল।,bivinno folgular vitore hobri onnotom jonopriyo fol,Barishal ,"Among the various fruits, guava is one of the most popular fruits"
ওজন কমানোর জন্য পেয়ারা অত্যন্ত উপকারী,ojon komanor jonno peyara ottonto upokari,ওজন কমাইন্যার লইজ্ঞা হোবরি বেমালা উপকারী।,ojon komainar loigga hobri bemala upokari,Barishal ,Guava is very beneficial for weight loss
গরমের দিনে তাজা নারিকেল পান করা খুব আনন্দদায়ক,goromer dine taja narikel pan kora khub anondodayok,গরমের দিনে তাজা নাহোইল খাওয়া বেমালা সুখের।,goromer dine taja nahoil khaoya bemala sukher,Barishal ,Drinking fresh coconut on hot summer days is very pleasant
আমার বাড়ীর পিছনে অনেক বড় একটি নারিকেল গাছ আছে,amar barir pichone onek boro ekti narikel gach ache,মোর বাড়ির পিছে বেমালা বড় এউক্কা নাহোইল গাছ আছে,mor barir piche bemala boro eukka nahoil gach ache,Barishal ,There is a very big coconut tree behind my house
রান্নাঘরে কে দাড়িয়ে আছে ?,rannaghore ke dariye ache ?,হোশ্যায় কেডা খাড়াইয়া আছে?,hoshay keda kharaiya ache?,Barishal ,Who is standing in the kitchen?
মাটির পাতিল গুলা অনেক সুন্দর,matir patil gula onek shundor,মাডির পাইলা গুলা বেমালা সুন্দর।,madir paila gula bemala shundor,Barishal ,The clay pots are very beautiful
মোরগের মাংস দিয়ে ভাত খেতে আমার অনেক ভালো লাগে,moroger mangsho diye vat khete amar onek valo lage,রাওয়ার গোস্ত দিয়া ভাত খাইতে মোর বেমালা ভালো লাগে।,raoyar gosto diya vat khaite mor bemala valo lage,Barishal ,I like to eat rice with chicken
শিমের তরকারী ডিয়ে ভাত খেতে আমার ভালো লাগে না,shimer torkari diye vat khete amar valo lage na,উশশির শালুন দিয়া ভাত খাইতে মোর ভালো লাগে না,ushshir shalun diya vat khaite mor valo lage na,Barishal ,I don't like rice with bean curd
পেঁপে খেতে অনেক সুস্বাদু,pepe khete onek susshadu,কোম্বা খাইতে বেমালা মজা।,komba khaite bemala moja,Barishal ,Papaya is very tasty
পেঁপে বাংলাদেশের একটি জনপ্রিয় ফল,pepe bangladesher ekti jonopriyo fol,কোম্বা বাংলাদেশের এউক্কা জনপ্রিয় ফল।,komba bangladesher eukka jonopriy fol,Barishal ,Papaya is a popular fruit of Bangladesh
গ্রাম থেকে শহরে আসার সময় অনেক গুলা জাম্বুরা কিনে আনবা,gram theke shohore ashar somoy onek gula jambura kine anba,গেরাম গোনে শহরে আওয়ার কালে ম্যালা গুলা ছোলোম কিন্যা আনবা।,geram gone shohore awyar kale mela gula cholom kinna anba,Barishal ,"When coming from the village to the city, buy a lot of grapefruit"
তুমি কি জামরুল খাও?,tumi ki jamrul khao?,তুমি কি লকট খাও?,tumi ki lokot khao?,Barishal ,Do you eat Jamrul?
সে ছাদে অনেক গুলো কবুতর পালে,she chade onek gulo kobutor pale,হ্যায় ছাদে বেমালা গুলা কইতোর পালে,hey chade bemala gula koitor pale,Barishal ,He keeps many pigeons on the roof
আমাদের খামারে ৫০০০টির বেশি মুরগি আছে,amader khamare 5000 tir beshi murgi ache,মোগো খামারে ৫০০০টার বেশি মুরহা আছে,mogo khamare ৫০০০tar beshi murha ache,Barishal ,We have more than 5000 chickens in our farm
আমি একটি মুরগির বাচ্চা পালি,ami ekti murgir baccha pali,মুই এউক্কা মুরহার ছাও পালি,mui eukka murhar chao pali,Barishal ,I raise a chicken
একটি বিড়াল ছানা পালার খুব ইচ্ছা আমার,ekti biral chana palar khub iccha amar,এউক্কা বিলই ছাও পালার বেমালা ইচ্ছা মোর,eukka bili chao palar bemala iccha mor,Barishal ,I really want to get a kitten
আমি সাঁতার কাটবো না,ami satar katbo na,মুই হাতোর কাটমু না,mui hator katmu na,Barishal ,I won't swim
তুমি একটা বোকা মেয়ে,tumi ekta boka meye,তুমি এউক্কা গোঙ্গা মাইয়া।,tumi eukka gongga maiya,Barishal ,you are a stupid girl
সবাই ড্রয়িংরুমে বসছে,sobai drawing room e bosche,বেবাকডি হাইত্নায় বইছে,bebakdi haitnay biche,Barishal ,Everyone is sitting in the drawing room
স্টোররুমটি নোংরা হয়ে আছে,storeroom ti nongra hoye ache,উগোইরডা ময়লা হইয়া রইছে।,ugoirda moyla hoiya roiche,Barishal ,The storeroom is dirty
ফ্লোর গুলি মার্বেল পাথর দিয়ে বানানো,floor guli marbel pathor diye banano,খাডাল গুলা মার্বেল পাথর দিয়া বানাইন্যা,khadal gula marbel pathor diya banainna,Barishal ,The floors are made of marble stone
গ্রামের মানুষরা লাকড়ির চুলা ব্যবহার করে,gramer manushra lakrir chula bebohar kore,গেরামের মানে লাকড়ির চুলা ব্যবহার করে,geramer mane lakrir chula bebhar kore,Barishal ,Villagers use wood stoves
আমি দুপুরে শুধু বেগুন তরকারির ঝোল দিয়ে ভাত খেয়েছি,ami dupure shudhu begun torkarir jhol diye vat kheyechi,মুই দুহারে হুদা বাইগুন শালুনের হুররা দিয়া ভাত খাইছি,mui duhare huda baigun shaluner hurra diya vat khaichi,Barishal ,I only had rice with eggplant curry broth for lunch
লাউ দিয়ে চিংড়ি মাছের ঝোল আমার খুব প্রিয় তরকারি,lau diye chingri macher jhol amar khub priyo torkari,কদু দিয়া আর ইছা মাছের হুররা মোর বেমালা প্রিয় শালুন,kodu diya ar icha macher hurra mor bemala priyo shalun,Barishal ,My very favorite curry is shrimp broth with gourd
গরমের দিনে গোসল করা ছাড়া একটি দিনও  টিকা মুশকিল ,goromer dine gosol kora chara ekti dino  tika mushkil,গরমের দিনে নাওয়া ছাড়া এউক্কা দিনও টেহা কঠিন,gormer dine nawya chara eukka dino teha kothin,Barishal ,It is difficult to inoculate even a day without bathing on a hot day
আমি গ্রামের বাড়ীতে গেলে পুকুরে গোসল করি,ami gramer barite gele pukure gosol kori,মুই গেরামের বাড়িতে গেলে পুহুইরে নাইতে যাই,mui geramer barite gele puhuire naite jai,Barishal ,I went to the village house and bathed in the pond
